               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  44,            0.026447,            0.021617,           0.0023769,             0.97587,                   1,             0.99399,             0.74025,            0.023673,            0.018398,           0.0010056,            0.002905,            0.002905,            0.002905
                  45,            0.026487,            0.022223,           0.0023778,             0.97108,             0.99722,             0.99369,             0.73753,            0.023095,            0.018087,          0.00095253,             0.00274,             0.00274,             0.00274
                  46,            0.025951,            0.022612,             0.00251,             0.98257,             0.99375,             0.99459,             0.72891,            0.023403,            0.018096,          0.00094333,            0.002575,            0.002575,            0.002575
                  47,            0.025886,            0.022252,           0.0021148,             0.98024,             0.99975,             0.99454,             0.73646,            0.023329,            0.018326,          0.00092309,             0.00241,             0.00241,             0.00241
                  48,            0.025377,            0.022064,           0.0028228,             0.98257,             0.99082,             0.99442,             0.75275,             0.02266,             0.01799,          0.00093288,            0.002245,            0.002245,            0.002245
                  49,            0.025335,            0.022407,            0.002417,             0.98792,             0.99347,             0.99471,             0.73762,            0.022883,            0.017859,          0.00087786,             0.00208,             0.00208,             0.00208
                  50,            0.023962,            0.021897,           0.0020698,             0.98866,               0.993,             0.99483,             0.74721,            0.022829,            0.017845,           0.0008595,            0.001915,            0.001915,            0.001915
                  51,            0.024835,            0.021795,           0.0025537,              0.9875,                   1,             0.99483,             0.74317,            0.022352,            0.017877,          0.00080123,             0.00175,             0.00175,             0.00175
                  52,            0.023939,            0.020934,           0.0019309,             0.98267,             0.99844,             0.99419,             0.74942,            0.022057,            0.017838,          0.00076976,            0.001585,            0.001585,            0.001585
                  53,            0.023996,            0.021489,           0.0020998,             0.98251,             0.99585,             0.99436,             0.75332,             0.02182,            0.017535,           0.0007447,             0.00142,             0.00142,             0.00142
                  54,            0.023973,            0.022579,           0.0022965,             0.98748,             0.98824,             0.99394,             0.75859,            0.021773,            0.017564,          0.00072975,            0.001255,            0.001255,            0.001255
                  55,             0.02295,            0.019876,           0.0020379,             0.97464,                   1,             0.99376,             0.75132,            0.021963,            0.017663,          0.00070732,             0.00109,             0.00109,             0.00109
                  56,            0.024134,            0.022283,           0.0019352,             0.97846,             0.99958,             0.99423,             0.75698,            0.021716,            0.017534,          0.00068624,            0.000925,            0.000925,            0.000925
                  57,            0.022909,            0.020474,           0.0019223,             0.98076,                   1,             0.99423,             0.75891,            0.021474,            0.017353,          0.00064249,             0.00076,             0.00076,             0.00076
                  58,            0.023166,            0.020549,           0.0017683,             0.98326,             0.99962,             0.99436,             0.76044,            0.021513,            0.017401,          0.00061638,            0.000595,            0.000595,            0.000595
                  59,            0.022644,            0.021165,           0.0018199,             0.98288,              0.9997,             0.99436,             0.76547,            0.021366,            0.017323,          0.00061243,             0.00043,             0.00043,             0.00043
